Block Size (MB),Test Number,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
700,50,0.005,1978.041,1978.072,0.019
700,51,0.005,1978.033,1978.045,0.018
700,52,0.005,1978.080,1978.072,0.015
700,53,0.005,1978.078,1978.062,0.018
700,54,0.005,1978.066,1978.073,0.017
700,55,0.005,1978.103,1978.072,0.019
700,56,0.004,1978.106,1978.024,0.017
700,57,0.006,1978.055,1978.006,0.018
700,58,0.005,1978.033,1977.983,0.018
700,59,0.005,1978.041,1978.046,0.018
700,60,0.004,1978.054,1978.072,0.018
800,1,0.037,2260.659,2260.667,0.016
800,2,0.004,2260.597,2260.677,0.017
800,3,0.005,2260.665,2260.568,0.016
800,4,0.004,2260.644,2260.631,0.017
800,5,0.005,2260.655,2260.559,0.017
800,6,0.004,2260.612,2260.596,0.018
800,7,0.004,2260.625,2260.616,0.017
800,8,0.004,2260.604,2260.584,0.017
800,9,0.005,2260.651,2260.541,0.017
800,10,0.005,2260.674,2260.606,0.017
800,11,0.005,2260.591,2260.556,0.015
800,12,0.004,2260.576,2260.681,0.017
800,13,0.005,2260.644,2260.642,0.017
800,14,0.005,2260.726,2260.649,0.017
800,15,0.004,2260.628,2260.668,0.017
800,16,0.005,2260.644,2260.642,0.011
800,17,0.003,2260.612,2260.624,0.016
800,18,0.005,2260.615,2260.578,0.017
800,19,0.005,2260.549,2260.577,0.017
800,20,0.004,2260.616,2260.603,0.015
800,21,0.004,2260.664,2260.639,0.016
800,22,0.004,2260.697,2260.584,0.017
800,23,0.004,2260.652,2260.608,0.017
800,24,0.005,2260.760,2260.670,0.017
800,25,0.004,2260.690,2260.646,0.017
800,26,0.005,2260.659,2260.652,0.016
800,27,0.005,2260.681,2260.662,0.018
800,28,0.005,2260.643,2260.687,0.017
800,29,0.005,2260.607,2260.653,0.017
800,30,0.004,2260.643,2260.624,0.017
800,31,0.005,2260.649,2260.663,0.017
800,32,0.004,2260.696,2260.642,0.018
800,33,0.004,2260.654,2260.591,0.017
800,34,0.005,2260.665,2260.682,0.017
800,35,0.005,2260.613,2260.661,0.018
800,36,0.004,2260.654,2260.614,0.017
800,37,0.004,2260.596,2260.650,0.017
800,38,0.004,2260.650,2260.605,0.017
800,39,0.004,2260.621,2260.636,0.017
800,40,0.004,2260.638,2260.670,0.017
800,41,0.005,2260.607,2260.610,0.017
800,42,0.004,2260.659,2260.704,0.017
800,43,0.005,2260.603,2260.616,0.018
800,44,0.004,2260.669,2260.622,0.017
800,45,0.005,2260.591,2260.594,0.017
800,46,0.005,2260.633,2260.678,0.017
800,47,0.004,2260.637,2260.582,0.017
800,48,0.005,2260.687,2260.600,0.018
800,49,0.004,2260.667,2260.621,0.017
800,50,0.005,2260.639,2260.628,0.017
800,51,0.004,2260.656,2260.637,0.018
800,52,0.004,2260.619,2260.600,0.016
800,53,0.005,2260.708,2260.606,0.016
800,54,0.004,2260.633,2260.609,0.018
800,55,0.004,2260.609,2260.571,0.017
800,56,0.005,2260.575,2260.663,0.017
800,57,0.004,2260.527,2260.608,0.016
800,58,0.004,2260.645,2260.594,0.018
800,59,0.004,2260.670,2260.683,0.016
800,60,0.004,2260.570,2260.647,0.016
900,1,0.042,2543.146,2543.204,0.017
900,2,0.005,2543.210,2543.228,0.018
900,3,0.005,2543.208,2543.219,0.017
900,4,0.004,2543.180,2543.202,0.017
900,5,0.005,2543.189,2543.191,0.018
900,6,0.005,2543.282,2543.182,0.017
900,7,0.005,2543.202,2543.232,0.018
900,8,0.004,2543.204,2543.212,0.017
900,9,0.004,2543.245,2543.241,0.019
900,10,0.005,2543.277,2543.191,0.018
900,11,0.005,2543.221,2543.226,0.017
900,12,0.005,2543.142,2543.208,0.018
900,13,0.004,2543.193,2543.226,0.017
900,14,0.005,2543.263,2543.190,0.018
900,15,0.005,2543.223,2543.173,0.018
900,16,0.004,2543.181,2543.348,0.017
900,17,0.005,2543.218,2543.297,0.017
900,18,0.005,2543.295,2543.285,0.018
900,19,0.005,2543.207,2543.183,0.018
900,20,0.005,2543.185,2543.219,0.018
900,21,0.005,2543.241,2543.293,0.018
900,22,0.005,2543.225,2543.281,0.017
900,23,0.005,2543.369,2543.328,0.018
900,24,0.005,2543.249,2543.229,0.017
900,25,0.005,2543.260,2543.250,0.018
900,26,0.005,2543.239,2543.211,0.018
900,27,0.005,2543.219,2543.248,0.017
900,28,0.004,2543.213,2543.175,0.017
900,29,0.006,2543.260,2543.224,0.017
900,30,0.005,2543.256,2543.249,0.018
900,31,0.004,2543.253,2543.300,0.018
900,32,0.004,2543.209,2543.258,0.018
900,33,0.005,2543.204,2543.245,0.017
900,34,0.004,2543.179,2543.190,0.018
900,35,0.004,2543.230,2543.140,0.018
900,36,0.004,2543.183,2543.264,0.017
900,37,0.004,2543.225,2543.186,0.017
900,38,0.005,2543.119,2543.193,0.017
900,39,0.004,2543.159,2543.303,0.018
900,40,0.005,2543.246,2543.180,0.017
900,41,0.005,2543.290,2543.198,0.017
900,42,0.004,2543.250,2543.243,0.016
900,43,0.004,2543.160,2543.219,0.018
900,44,0.004,2543.246,2543.150,0.017
900,45,0.005,2543.190,2543.149,0.018
900,46,0.005,2543.234,2543.264,0.017
900,47,0.005,2543.219,2543.176,0.017
900,48,0.005,2543.149,2543.257,0.017
900,49,0.005,2543.194,2543.177,0.018
900,50,0.005,2543.194,2543.152,0.018
900,51,0.004,2543.218,2543.232,0.017
900,52,0.004,2543.178,2543.177,0.017
900,53,0.005,2543.239,2543.201,0.017
900,54,0.005,2543.182,2543.194,0.018
